provider_number,network,facility_name,five_star_date,five_star,five_star_data_availability_code,address_line_1,address_line_2,city,state,zip,county,phone_number,profit_or_nonprofit,chain_owned,chain_organization,late_shift,of_dialysis_stations,offers_incenter_hemodialysis,offers_peritoneal_dialysis,offers_home_hemodialysis_training,certification_or_recertification_date,claims_date,crownweb_date,strr_date,percentage_of_medicare_patients_with_hgb10_gdl,hgb10_data_availability_code,percentage_of_medicare_patients_with_hgb12_gdl,hgb__12_data_availability_code,number_of_dialysis_patients_with_hgb_data,patient_transfusion_data_availability_code,patient_transfusion_category_text,number_of_patients_included_in_the_transfusion_summary,percent_of_adult_hd_patients_with_ktv__12,adult_hd_ktv_data_availability_code,percentage_of_adult_pd_pts_with_ktv__17,adult_pd_ktv_data_availability_code,percentage_of_pediatric_hd_patients_with_ktv__12,pediatric_hd_ktv_data_availability_code,number_of_adult_hd_patients_with_ktv_data,number_of_adult_hd_patientmonths_with_ktv_data,number_of_adult_pd_patients_with_ktv_data,number_of_adult_pd_patientmonths_with_ktv_data,number_of_pediatric_hd_patients_with_ktv_data,number_of_pediatric_hd_patientmonths_with_ktv_data,hypercalcemia_data_availability_code,number_of_patients_in_hypercalcemia_summary,number_of_patientmonths_in_hypercalcemia_summary,percentage_of_adult_patients_with_hypercalcemia_serum_calci_0,number_of_patients_in_serum_phosphorus_summary,number_of_patientmonths_in_serum_phosphorus_summary,serum_phosphorus_data_availability_code,percentage_of_adult_patients_with_serum_phosphorus_less_tha_1,percentage_of_adult_patients_with_serum_phosphorus_between__2,percentage_of_adult_patients_with_serum_phosphorus_between__3,percentage_of_adult_patients_with_serum_phosphorus_between__4,percentage_of_adult_patients_with_serum_phosphorus_greater__5,shr_date,srr_date,smr_date,patient_hospitalization_category_text,patient_hospitalization_data_availability_code,patient_hospital_readmission_category,patient_hospital_readmission_data_availability_code,patient_survival_category_text,patient_survival_data_availability_code,number_of_patients_included_in_hospitalization_summary,number_of_hospitalizations_included_in_hospital_readmission_6,number_of_patients_included_in_survival_summary,mortality_rate_facility,mortality_rate_upper_confidence_limit_975,mortality_rate_lower_confidence_limit_25,readmission_rate_facility,readmission_rate_upper_confidence_limit_975,readmission_rate_lower_confidence_limit_25,hospitalization_rate_facility,hospitalization_rate_upper_confidence_limit_975,hospitalization_rate_lower_confidence_limit_25,number_of_pediatric_pd_patients_with_ktv_data,pediatric_pd_ktv_data_availability_code,number_of_pediatric_pd_patientmonths_with_ktv_data,percentage_of_pediatric_pd_patients_with_ktv18,sir_date,patient_infection_data_availability_code,patient_infection_category_text,standard_infection_ratio,sir_upper_confidence_limit_975,sir_lower_confidence_limit_25,transfusion_rate_facility,transfusion_rate_upper_confidence_limit_975,transfusion_rate_lower_confidence_limit_25,fistula_data_availability_code,fistula_category_text,number_of_patients_included_in_fistula_summary,fistula_rate_facility,fistula_rate_upper_confidence_limit_975,fistula_rate_lower_confidence_limit_25,number_of_patients_in_long_term_catheter_summary,number_of_patient_months_in_long_term_catheter_summary,long_term_catheter_data_availability_code,percentage_of_adult_patients_with_long_term_catheter_in_use,number_of_patients_in_npcr_summary,number_of_patientmonths_in_npcr_summary,npcr_data_availability_code,percentage_of_pediatric_hd_patients_with_npcr,swr_date,swr_category_text,patient_transplant_waitlist_data_availability_code,95_ci_upper_limit_for_swr,95_ci_lower_limit_for_swr,number_of_patients_in_this_facility_for_swr,standardized_first_kidney_transplant_waitlist_ratio,pppw_category_text,patient_prevalent_transplant_waitlist_data_availability_code,95_ci_upper_limit_for_pppw,95_ci_lower_limit_for_pppw,number_of_patients_for_pppw,percentage_of_prevalent_patients_waitlisted
333522,2,NYU LANGONE HOSPITALS,01/01/2016-12/31/2019,5,1,530 HICKSVILLE ROAD,THE DIALYSIS CENTER @ BETHPAGE,BETHPAGE,NY,11714,NASSAU,(516) 663-4980,Non-Profit,No,INDEPENDENT,1,12,1,0,0,02/25/1998,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2019-12/31/2019,10,1,0,1,60,1,Worse than Expected,82,97,1,,257,,259,112,909,0,,0,,1,113,922,0,120,976,1,4,15,28,37,16,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2016-12/31/2019,As Expected,1,As Expected,1,Better than Expected,1,100,127,398,17.5,22.4,13.5,27.2,40.1,17.2,229.4,351.2,159.8,0,259,,,01/01/2019-12/31/2019,1,Better than Expected,0.18,0.88,0.01,42.7,96.6,21.6,1,Better than Expected,118,82.4,94.6,69.3,118,970,1,7,0,,259,,01/01/2016-12/31/2018,Not Available,199,,,32,,As Expected,1,48.4,10.8,67,25.2
332529,2,DAVITA FREEPORT KIDNEY CENTER,01/01/2016-12/31/2019,3,1,351 SOUTH MAIN STREET,,FREEPORT,NY,11520,NASSAU,(516) 623-1786,Profit,Yes,DAVITA,0,21,1,0,0,12/24/1984,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2019-12/31/2019,12,1,0,1,49,1,As Expected,75,98,1,,257,,259,107,822,0,,0,,1,109,889,4,113,911,1,5,20,31,23,20,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2016-12/31/2019,As Expected,1,As Expected,1,As Expected,1,89,113,447,23.9,30.4,18.5,21.5,33.3,12.8,202.6,309,134.3,0,259,,,01/01/2019-12/31/2019,1,As Expected,1.42,2.7,0.66,36.5,90.8,17,1,As Expected,114,72.2,86.9,56.4,114,955,1,12,0,,259,,01/01/2016-12/31/2018,As Expected,1,3.62,0.5,37,1.55,As Expected,1,42.2,7.8,82,19.9
332552,2,DAVITA OYSTER BAY DIALYSIS,01/01/2016-12/31/2019,4,1,17 E OLD COUNTRY ROAD,,HICKSVILLE,NY,11801,NASSAU,(516) 681-2786,Profit,Yes,DAVITA,1,25,1,1,1,06/23/1994,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2019-12/31/2019,19,1,0,1,74,1,As Expected,97,97,1,,199,,259,131,1146,1,7,0,,1,134,1188,2,146,1226,1,8,26,35,18,13,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2016-12/31/2019,As Expected,1,Worse than Expected,1,As Expected,1,111,161,463,20,24.8,15.8,42.3,54.9,31.4,218,320.9,157.1,0,259,,,01/01/2019-12/31/2019,1,As Expected,0.41,1.12,0.11,30.8,72.8,15,1,Better than Expected,145,81.3,92.2,69.6,145,1219,1,9,0,,259,,01/01/2016-12/31/2018,As Expected,1,3.4,0.74,66,1.72,As Expected,1,49.2,17.1,105,30.9
332558,2,FRESENIUS KIDNEY CARE BELLMORE,01/01/2016-12/31/2019,5,1,250 PETTIT AVENUE,,BELLMORE,NY,11710,NASSAU,(516) 679-3090,Profit,Yes,FRESENIUS MEDICAL CARE,1,20,1,0,0,06/11/2018,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2019-12/31/2019,13,1,1,1,93,1,As Expected,105,96,1,,257,,259,149,1303,0,,0,,1,153,1370,2,162,1436,1,6,20,27,33,13,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2016-12/31/2019,As Expected,1,As Expected,1,Better than Expected,1,136,144,562,14.2,17.9,11.2,25.6,35.8,18.1,186,273.8,134,0,259,,,01/01/2019-12/31/2019,1,As Expected,0.46,1.1,0.15,31.7,69,16.5,1,Better than Expected,162,79.4,90.5,67.4,162,1433,1,10,0,,259,,01/01/2016-12/31/2018,As Expected,1,4.19,0.71,48,1.92,As Expected,1,50.4,17.6,98,31.8
332750,2,DAVITA FLORAL PARK HOME DIALYSIS (PD),01/01/2016-12/31/2019,5,1,1 CISNEY AVE,,FLORAL PARK,NY,11001,NASSAU,(516) 327-9502,Profit,Yes,DAVITA,0,1,0,1,0,03/02/2017,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2019-12/31/2019,36,1,0,1,11,199,Not Available,18,,256,100,1,,259,0,,14,106,0,,1,23,180,0,24,186,1,2,25,34,23,16,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2016-12/31/2019,As Expected,1,As Expected,1,As Expected,1,21,11,41,13.8,49.8,1.7,22.1,64.3,2.4,127.8,353.6,49.7,0,259,,,01/01/2019-12/31/2019,201,Not Available,,,,,,,199,Not Available,10,,,,10,79,199,,0,,259,,01/01/2016-12/31/2018,Not Available,199,,,4,,As Expected,1,82.2,14.6,17,47.1
332753,2,"MAIN STREET DIALYSIS CENTER, LLC",01/01/2016-12/31/2019,4,1,3 NORTH MAIN STREET,,FREEPORT,NY,11520,NASSAU,(516) 771-7112,Profit,No,INDEPENDENT,0,24,1,0,0,04/28/2017,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2019-12/31/2019,,199,,199,4,199,Not Available,7,96,1,,257,,259,15,145,0,,0,,1,15,145,0,17,149,1,19,49,21,9,1,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2016-12/31/2019,Not Available,199,As Expected,1,As Expected,1,8,18,21,29,74.2,7.9,32.2,64.1,10.8,,,,0,259,,,01/01/2019-12/31/2019,201,Not Available,,,,,,,1,As Expected,17,65.9,100,27.1,17,150,1,11,0,,259,,01/01/2016-12/31/2018,Not Available,199,,,4,,As Expected,1,81.1,0.7,13,14.7
332754,2,DAVITA JULIA AND ISRAEL WALDBAUM DIALYSIS,01/01/2016-12/31/2019,5,1,100 COMMUNITY DRIVE,WALDBAUM DIALYSIS CENTER,GREAT NECK,NY,11021,NASSAU,(516) 465-8250,Profit,Yes,DAVITA,0,34,1,1,0,11/01/2016,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2019-12/31/2019,29,1,0,1,112,1,As Expected,129,97,1,97,1,,199,172,1590,44,371,2,5,1,221,2035,3,228,2046,1,6,22,34,24,14,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2016-12/31/2019,As Expected,1,As Expected,1,Better than Expected,1,168,216,630,11.9,16.1,8.6,26.5,34.8,19.9,216.2,300.5,163.4,2,199,7,,01/01/2019-12/31/2019,1,As Expected,1.28,2.17,0.69,34.2,69,19,1,Better than Expected,188,78.2,88.7,67,188,1698,1,7,3,6,199,,01/01/2016-12/31/2018,As Expected,1,4.06,0.79,39,1.97,Better than Expected,1,45.2,20.6,189,31.6
332634,2,WOODMERE DIALYSIS LLC,01/01/2016-12/31/2019,1,1,FIVE TOWNS PREMIER NURSING AND REHABILITATION,1050 CENTRAL AVENUE,WOODMERE,NY,11598,NASSAU,(516) 791-5277,Profit,No,INDEPENDENT,0,14,1,0,0,06/11/2003,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2019-12/31/2019,62,1,0,1,47,1,Worse than Expected,102,94,1,,257,,259,162,862,0,,0,,1,168,901,11,185,951,1,15,27,24,23,10,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2016-12/31/2019,As Expected,1,As Expected,1,Worse than Expected,1,134,115,469,40.7,48.1,34.2,25.2,35.1,17.3,153.5,231.1,103,0,259,,,01/01/2019-12/31/2019,201,Not Available,,,,51.5,102.6,28.9,1,As Expected,194,57.7,72.9,41.5,194,967,1,33,0,,259,,01/01/2016-12/31/2018,Not Available,199,,,42,,As Expected,1,78.5,0.2,16,8.4
332521,2,FRESENIUS KIDNEY CARE - HEMPSTEAD,01/01/2016-12/31/2019,3,1,615 PENINSULA BOULEVARD,,HEMPSTEAD,NY,11550,NASSAU,(516) 483-6702,Profit,Yes,FRESENIUS MEDICAL CARE,1,20,1,0,0,06/11/2018,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2019-12/31/2019,20,1,0,1,75,1,As Expected,95,97,1,,257,,259,134,1244,0,,0,,1,138,1297,4,152,1327,1,9,20,25,29,17,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2016-12/31/2019,As Expected,1,As Expected,1,As Expected,1,113,137,478,19.3,24.5,14.9,31.5,44.7,21.3,197.3,300,138.3,0,259,,,01/01/2019-12/31/2019,1,Better than Expected,0.25,0.82,0.04,31.5,68.7,16.4,1,As Expected,155,63,78.1,46.7,155,1372,1,10,0,,259,,01/01/2016-12/31/2018,As Expected,1,1.74,0.01,39,0.31,As Expected,1,40.4,10,112,21.6
332738,2,NEW YORK DIALYSIS SERVICES INC.,01/01/2016-12/31/2019,5,1,760 SOUTH BROADWAY,,HICKSVILLE,NY,11801,NASSAU,(516) 827-1370,Profit,Yes,FRESENIUS MEDICAL CARE,0,14,1,1,1,06/29/2016,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2019-12/31/2019,22,1,0,1,45,1,Worse than Expected,73,97,1,95,1,,259,88,736,18,133,0,,1,104,916,0,107,952,1,7,26,27,25,15,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2016-12/31/2019,As Expected,1,As Expected,1,As Expected,1,86,92,241,22,30.4,15.5,30.3,45.6,18.2,222.8,337.3,148.7,0,259,,,01/01/2019-12/31/2019,1,As Expected,0.4,1.33,0.07,70.4,144.1,38.7,1,Better than Expected,94,82.8,94.9,69.8,94,821,1,5,0,,259,,01/01/2016-12/31/2018,As Expected,1,3.2,0.7,65,1.62,As Expected,1,33.9,4.9,86,14
332765,2,"NEW YORK DIALYSIS SERVICES, INC.",01/01/2016-12/31/2019,4,1,185 S 10TH STREET,,LINDENHURST,NY,11757,SUFFOLK,(631) 956-6060,Profit,Yes,FRESENIUS MEDICAL CARE,0,18,1,0,0,07/14/2017,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2019-12/31/2019,39,1,0,1,41,1,Worse than Expected,54,99,1,,257,,259,81,661,0,,0,,1,83,714,2,96,749,1,9,23,25,26,17,01/01/2019-12/31/2019,01/01/2019-12/31/2019,01/01/2016-12/31/2019,As Expected,1,As Expected,1,As Expected,1,66,91,153,18.8,30.6,10.8,25.1,37.4,15.5,221.1,347.2,142.4,0,259,,,01/01/2019-12/31/2019,1,As Expected,0.38,1.25,0.06,58.9,139.3,28.7,1,As Expected,97,69,84.9,52,97,766,1,10,0,,259,,01/01/2016-12/31/2018,As Expected,1,1.94,0.01,30,0.35,As Expected,1,45.3,8.5,67,21.7
